id,name,type_1,type_2,division,location,constituency,latitude,longitude
30,WESTLANDS PRI SCH,MIXED,BOARDING ONLY,WESTLANDS,PARKLANDS,WESTLANDS,-1.25658,36.79667
31,DAIMA PRI SCH,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.257459,36.869619
32,MADARAKA PRI SCH,MIXED,DAY ONLY,KIBERA,NAIROBI WEST,LANGATA,-1.305902,36.815477
33,KIBORO PRI SCH,MIXED,DAY ONLY,STAREHE,MATHARE,STAREHE,-1.26296,36.853226
34,LANGATA ROAD PRI SCH,MIXED,DAY ONLY,KIBERA,MUGUMOINI,LANGATA,-1.314933,36.811195
35,PARKLANDS PRI SCH -PRI,MIXED,DAY ONLY,STAREHE,NGARA,STAREHE,-1.267281,36.817755
36,ST. PATRICKS PRI SCH,MIXED,DAY ONLY,MAKADARA,MARINGO,MAKADARA,-1.291877,36.86487
37,AYANI ESTATE PRI SCH,MIXED,DAY ONLY,KIBERA,SERA NGOMBE,LANGATA,-1.310756,36.775934
38,KAHAWA GARRISON PRI SCH,MIXED,DAY ONLY,KASARANI,KAHAWA,KASARANI,-1.188908,36.924566
39,ST. BAKHITA PRI SCH - PRI,MIXED,DAY ONLY,EMBAKASI,MUKURU KWA NJENGA,MAKADARA,-1.314238,36.852535
40,MARIAKANI PRI SCH,MIXED,DAY ONLY,MAKADARA,MUKURU NYAYO,MAKADARA,-1.306899,36.834193
41,EMBAKASI GARRISON PRI SCH,MIXED,BOARDING ONLY,EMBAKASI,EMBAKASI,EMBAKASI,-1.304557,36.920232
42,ST. CATHERINES SCHOOL - PRI,MIXED,DAY ONLY,MAKADARA,SOUTH B,MAKADARA,-1.304635,36.831398
43,BARAKA PRI SCH,MIXED,DAY ONLY,WESTLANDS,KILIMANI,MAKADARA,-1.288284,36.80106
44,AINSWORTH STREET PRI SCH,MIXED,DAY ONLY,STAREHE,KARIOKOR,STAREHE,-1.273194,36.843825
45,THREE IN ONE CHILDREN CENTRE PRI,MIXED,DAY ONLY,MAKADARA,MARINGO,MAKADARA,-1.292068,36.859721
46,BLUE STAR CHILDREN CENTRE,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.262311,36.751967
47,WIMA JUNIOR ACADEMY PRI SCH,MIXED,DAY ONLY,EMBAKASI,DANDORA,EMBAKASI,-1.248056,36.900319
48,ROSAND JUNIOR ACADEMY - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.265931,36.751836
49,RUMWE EDUCATION CENTRE PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.266022,36.755952
50,YOUNG STAGE ACADEMY,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.255501,36.877067
51,VISION COMMUNITY CENTRE - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.264367,36.75777
52,BEYOND TOMORROW EDUCATION CENTRE,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.263963,36.727951
53,TENDER FOOT SELF HELP SCH. - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.265155,36.730761
54,WARUKU PRI SCH,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.266653,36.758716
55,HUPENDO SCHOOL - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.267447,36.753904
56,BUSY BEE CHILDRENS CENTRE - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.272107,36.735255
57,KANGEMI YOUTH CENTRE - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.271677,36.749254
58,MARGA EDUCATION CENTRE,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.268635,36.746466
59,DAMASCUS PRI SCH,MIXED,DAY ONLY,KASARANI,KOROGOCHO,KASARANI,-1.250262,36.886932
60,HOPE EDUCATION CENTRE & SCH - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.2688,36.748684
61,RONALD NGALA PRI SCH SPECIAL,MIXED,DAY ONLY,EMBAKASI,DANDORA,EMBAKASI,-1.239974,36.909255
62,USHIRIKA PRI SCH,MIXED,DAY ONLY,EMBAKASI,DANDORA,EMBAKASI,-1.239562,36.91154
63,HURUMA PRI SCH,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.258552,36.873811
64,VALLEY BRIDGE PRI SCH,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.250929,36.876415
65,SALAMA PRI SCH,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.257462,36.870696
66,SALAMA PRI SCH SPECIAL UNIT,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.257462,36.870696
67,JUJA ROAD PRI SCH,MIXED,DAY ONLY,STAREHE,KARIOKOR,STAREHE,-1.270061,36.839118
68,PANGANI PRI SCH,MIXED,DAY ONLY,STAREHE,KARIOKOR,STAREHE,-1.272538,36.842799
69,RACECOURSE PRI SCH,MIXED,DAY ONLY,STAREHE,KARIOKOR,STAREHE,-1.272285,36.840712
70,PUMWANI PRI SCH,MIXED,DAY ONLY,STAREHE,KARIOKOR,STAREHE,-1.276108,36.842272
71,PUMWANI PRI SCH SPECIAL SCH,MIXED,BOARDING ONLY,STAREHE,KARIOKOR,STAREHE,-1.276108,36.842272
72,PARK ROAD PRI SCH,MIXED,DAY ONLY,STAREHE,NGARA,STAREHE,-1.270396,36.833966
73,ARYA PRIMARY SCH,MIXED,DAY ONLY,STAREHE,NGARA,STAREHE,-1.27183,36.825191
74,RIVER BANK PRI SCH,MIXED,DAY ONLY,STAREHE,NGARA,STAREHE,-1.274516,36.826032
75,CITY PRI SCH,MIXED,DAY ONLY,STAREHE,NGARA,STAREHE,-1.27116,36.823265
76,PARKLANDS PRI SCH SPECIAL UNIT,MIXED,DAY ONLY,STAREHE,NGARA,STAREHE,-1.267351,36.818123
77,ST. GEORGES PRI SCH,MIXED,DAY ONLY,WESTLANDS,KILIMANI,WESTLANDS,-1.281429,36.794013
78,KILIMANI PREP. PRI SCH,MIXED,DAY ONLY,WESTLANDS,KILIMANI,WESTLANDS,-1.290218,36.781983
79,KILIMANI INTERGRATED PRI SCH,MIXED,DAY ONLY,WESTLANDS,KILIMANI,WESTLANDS,-1.290218,36.781983
80,KILIMANI PRI SCH - PRI,MIXED,DAY ONLY,WESTLANDS,KILIMANI,WESTLANDS,-1.293177,36.780421
